# Stations around Los Angeles, for the GTK4 front end to draw.
#
# Positions are near 34.0N 118.3W so they land in the default view.  The symbol
# table/code is the two characters after the longitude: /- house, /> car,
# /k truck, /_ weather, /' small aircraft, /Y yacht, \# digipeater.
N6ABC-1>APX200,WIDE2-2:=3403.00N/11821.00W-Home station
K6DEF-9>APX200,WIDE2-2:=3358.50N/11815.20W>Mobile unit
W6GHI>APX200,WIDE2-2:=3410.10N/11828.40Wk Truck rolling
N6JKL-2>APX200,WIDE2-2:=3355.20N/11840.00W_Weather station
K6MNO-7>APX200,WIDE2-2:=3418.00N/11810.50W'Aircraft inbound
W6PQR>APX200,WIDE2-2:=3345.00N/11825.00WYHarbor yacht
N6STU-3>APX200,WIDE2-2:=3407.50N/11845.00W\#Digipeater site
K6VWX-5>APX200,WIDE2-2:=3350.00N/11805.00W-Second home

# ---------------------------------------------------------------------------
# A CLUSTER OF WEATHER STATIONS.
#
# These are here to make the regression render exercise label collision, which
# the eight stations above never did: they are far enough apart that no label
# ever had to be rejected, so a comparison against them proved only that nothing
# had broken -- never that crowding was handled.
#
# A weather station carries the longest annotation Astir draws.  After the `_`
# symbol comes course/speed, gust and temperature, which becomes a line like
# "S:16km/h G:24km/h C:270" beside the callsign.  Put several within a few
# arc-minutes of each other, as they genuinely are in a city, and the labels
# overlap by a wide margin while the symbols stay separate.  That is the case
# that turned the middle of Los Angeles into a solid block of yellow.
#
# Spread is 1 to 4 arc-minutes, which at the scale the regression renders at is
# roughly 5 to 20 pixels between symbols against labels 150 pixels wide.  Close
# enough to collide, far enough apart to be distinct stations rather than one
# blob -- so the placer has to choose, which is the whole point.
#
# Values differ per station so the labels are different lengths, and a shorter
# one can fit where a longer one cannot.
N6WX-1>APX200,WIDE2-2:=3400.00N/11818.00W_270/010g015t072r000p000h55b10150
N6WX-2>APX200,WIDE2-2:=3401.50N/11819.20W_045/008g012t068r000p000h60b10148
N6WX-3>APX200,WIDE2-2:=3402.80N/11817.40W_180/022g031t075r000p000h48b10152
N6WX-4>APX200,WIDE2-2:=3358.60N/11818.80W_315/005g009t070r000p000h58b10149
N6WX-5>APX200,WIDE2-2:=3357.20N/11816.50W_090/014g019t073r000p000h52b10151
N6WX-6>APX200,WIDE2-2:=3403.40N/11820.10W_225/003g007t066r000p000h63b10147
N6WX-7>APX200,WIDE2-2:=3359.80N/11821.30W_135/018g026t071r000p000h50b10153
N6WX-8>APX200,WIDE2-2:=3401.00N/11815.60W_000/012g017t069r000p000h56b10150

# And a knot of ordinary stations in the same block, so callsigns compete with
# each other as well as with the weather lines.  A net or a public-service event
# looks exactly like this.
KA6AA-1>APX200,WIDE2-2:=3400.60N/11818.60W-Net control
KA6BB-2>APX200,WIDE2-2:=3400.90N/11818.20W>Shadow one
KA6CC-3>APX200,WIDE2-2:=3401.20N/11817.80W>Shadow two
KA6DD-4>APX200,WIDE2-2:=3400.30N/11817.50Wk Supply truck
KA6EE-5>APX200,WIDE2-2:=3401.80N/11818.90W-Rest stop
